# perf/beyond campaign baseline — STATUS: VALID (attempt 3, blessed 2026-09-02)
#
# Recorded at cc64579 (the branch point; U0's two docs commits touch no code), sibling
# walnut-java at 14509f1 (bugfix/wb-001), jar target/Walnut-all.jar (2026-08-22 build),
# same machine/methodology as benches/STATUS.md (8 cores: 4P+4E, AC power).
# Three full 'cargo run -p wr-bench --release --bin compare' runs, 10:56-11:02; every
# answer check green; all 9 automaton-valued workloads match the recorded corpus automata.
#
# Environment, stated honestly: 1-min load 2.5-5.8 during the runs, including ONE
# unrelated single-threaded python3 process pinned at ~100% of one core throughout.
# Cross-run tightness is the evidence the baseline is credible anyway: Rust medians agree
# to ~2% on 10 of 11 fixtures (worst: 179 at ~7%), Java medians to ~7%, and the values
# reproduce the historical quiet-machine U34/refactor-U0 tables. Attempts 1-2 (appendix
# below) show what an UNFIT machine does to the same code: load 10-34, swings up to 19x.
#
# THE CAMPAIGN BASELINE (median-of-3-run-medians; speedup = java/rust):
#
#  fix   rust med-of-med   java med-of-med   speedup
#    1        391.416 µs        652.687 µs     1.67x
#  207        300.312 µs        414.562 µs     1.38x
#  293         31.898 ms         85.531 ms     2.68x
#  521         19.692 ms         49.554 ms     2.52x
#  179        112.761 ms        328.359 ms     2.91x
#  266         35.927 ms         89.490 ms     2.49x
#  230        547.925 ms          1.892 s      3.45x
#  295         69.427 ms        151.179 ms     2.18x
#  261        109.565 ms        251.650 ms     2.30x
#  286        176.045 ms        403.366 ms     2.29x
#  637         23.637 ms         63.390 ms     2.68x
#
# Reading: the two sub-ms rows measure per-command overhead; the nine engine-bound rows
# sit at 2.18x-3.45x. The dispatch's >10x aspiration means ~3-4x more off the port's own
# times. Unit A/Bs compare against THIS table, with a same-session re-run of the old
# commit before any headline claim (the dispatch's rule 1).
#
# Peak-state note: the port's details trace names the same peak as Java's on all 11
# fixtures (U28 closed the Logging gap); benches/README.md's 'lower bound' caveat is
# stale — docs touch-up queued in RESUME-HERE.md.

## attempt-3 run 1 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50   401.880 µs   365.541 µs   842.143 µs   690.417 µs     2.10x            6           6
207      50   302.521 µs   296.854 µs   414.545 µs   409.271 µs     1.37x            3           3
293      20    32.735 ms    32.158 ms    87.942 ms    85.531 ms     2.69x        12334       12334
521      20    26.516 ms    19.752 ms    54.508 ms    51.670 ms     2.06x            3           3
179      20   123.103 ms   112.761 ms   349.653 ms   338.879 ms     2.84x        33000       33000
266      20    35.979 ms    35.557 ms    89.416 ms    88.416 ms     2.49x         7657        7657
230       5   550.168 ms   547.925 ms      2.110 s      1.944 s     3.84x       115802      115802
295      20    69.828 ms    68.855 ms   144.489 ms   141.191 ms     2.07x        11589       11589
261      20   113.260 ms   109.565 ms   270.457 ms   266.216 ms     2.39x        18674       18674
286      20   182.290 ms   176.045 ms   409.252 ms   394.435 ms     2.25x        34988       34988
637      20    23.649 ms    23.637 ms    60.922 ms    59.943 ms     2.58x         4965        4965

## attempt-3 run 2 (raw summary table)
fix   iters    rust mean  rust median    java mean  java median   speedup  peak states  rust trace
---------------------------------------------------------------------------------------------------------
1        50   450.760 µs   391.416 µs   703.547 µs   646.292 µs     1.56x            6           6
207      50   303.829 µs   300.312 µs   526.218 µs   447.604 µs     1.73x            3           3
293      20    32.447 ms    31.898 ms    81.083 ms    80.656 ms     2.50x        12334       12334
521      20    20.314 ms    19.692 ms    50.611 ms    49.201 ms     2.49x            3           3
179      20   122.048 ms   120.254 ms   329.932 ms   318.514 ms     2.70x        33000       33000
266      20    37.712 ms    36.729 ms    96.585 ms    91.215 ms     2.56x         7657        7657
230       5   555.771 ms   549.102 ms      1.822 s      1.810 s     3.28x       115802      115802
295      20    72.293 ms    69.427 ms   154.286 ms   151.179 ms     2.13x        11589       11589
261      20   110.630 ms   109.575 ms   247.784 ms   247.576 ms     2.24x        18674       18674
286      20   178.324 ms   176.840 ms   404.281 ms   403.366 ms     2.27x        34988       34988
637      20    23.949 ms    23.620 ms    64.162 ms    63.390 ms     2.68x         4965        4965

## attempt-3 run 3 (raw summary table)
